2024 RANK,2023 RANK,Institution Name - WRONG,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE
1201-1400,1201-1400,Stefan cel Mare University of Suceava,Ștefan cel Mare University of Suceava,RO,Romania,M,CO,HI,3.0,A,2023-08-03 00:00:00,601+,2023-03-02 00:00:00,601+,2023-09-04 00:00:00,701+,2023-08-03 00:00:00,701+,2023-04-02 00:00:00,701+,2023-07-27 00:00:00,443,2023-01-01 00:00:00,701+,2023-05-08 00:00:00,701+,1,701+,-
1201-1400,,Suleyman Demirel University,Suleyman Demirel University,TR,Turkey,XL,FC,MD,3.0,A,2023-08-06 00:00:00,601+,2023-08-03 00:00:00,601+,2023-01-04 00:00:00,701+,2023-04-02 00:00:00,701+,2023-08-01 00:00:00,701+,2023-01-05 00:00:00,701+,2023-05-01 00:00:00,701+,2023-05-07 00:00:00,701+,2023-01-01 00:00:00,701+,-
1201-1400,1201-1400,Technical University of Cluj-Napoca,Technical University of Cluj-Napoca,RO,Romania,L,SP,,5.0,A,5,601+,2023-08-04 00:00:00,601+,2023-03-07 00:00:00,701+,2023-07-03 00:00:00,701+,2023-07-01 00:00:00,701+,2023-07-02 00:00:00,701+,2023-08-02 00:00:00,701+,8,701+,2023-01-01 00:00:00,701+,-
1201-1400,1001-1200,Technical University of Lublin,Lublin University of Technology,PL,Poland,M,FO,VH,2.0,A,2023-07-05 00:00:00,601+,2023-09-01 00:00:00,601+,2023-08-23 00:00:00,596,2023-07-02 00:00:00,701+,,,2023-03-11 00:00:00,686,1,701+,2023-02-06 00:00:00,701+,1,701+,-
1201-1400,1201-1400,"The ""Gheorghe Asachi"" Technical University of Iasi",Gheorghe Asachi Technical University of Iași,RO,Romania,L,SP,,4.0,A,6,601+,2023-08-06 00:00:00,601+,2023-04-02 00:00:00,701+,2023-05-05 00:00:00,701+,,,5,701+,2023-02-02 00:00:00,701+,2023-05-06 00:00:00,701+,2023-01-01 00:00:00,701+,-
1201-1400,1001-1200,The Herzen State Pedagogical University of Russia,Herzen University,RU,Russia,L,FO,HI,5.0,A,4,601+,2023-09-01 00:00:00,601+,2023-09-24 00:00:00,586,2023-02-01 00:00:00,701+,2023-05-01 00:00:00,701+,38.9,353,1,701+,2023-08-08 00:00:00,701+,2023-05-01 00:00:00,701+,-
1201-1400,1001-1200,The Josip Juraj Strossmayer University of Osijek,University of Osijek,HR,Croatia,L,CO,HI,3.0,A,2023-03-04 00:00:00,601+,,,30.2,519,2023-09-02 00:00:00,701+,,,,,2023-03-05 00:00:00,701+,2023-09-09 00:00:00,701+,1,701+,-
1201-1400,1001-1200,"The National Research University ""Belgorod State University""",Belgorod State University,RU,Russia,L,FC,MD,5.0,A,4,601+,2023-03-01 00:00:00,601+,2023-04-18 00:00:00,701+,2,701+,2023-04-02 00:00:00,701+,52.9,275,2023-02-01 00:00:00,701+,2023-09-07 00:00:00,701+,2023-05-03 00:00:00,701+,-
1201-1400,1201-1400,Transilvania University of Brasov,Transilvania University of Brașov,RO,Romania,L,FC,HI,4.0,A,6,601+,2023-08-03 00:00:00,601+,6,701+,2023-03-03 00:00:00,701+,2023-04-02 00:00:00,701+,2,701+,2023-04-03 00:00:00,701+,2023-09-07 00:00:00,701+,2023-06-01 00:00:00,701+,-
1201-1400,1201-1400,Università degli studi di Bergamo,University of Bergamo,IT,Italy,L,FO,VH,3.0,A,2023-07-05 00:00:00,601+,2023-03-02 00:00:00,601+,2023-05-01 00:00:00,701+,2023-03-06 00:00:00,701+,2023-04-08 00:00:00,701+,2023-04-06 00:00:00,701+,2023-04-01 00:00:00,701+,2023-05-08 00:00:00,701+,2023-01-01 00:00:00,701+,-
