Unnamed: 0,2024 RANK,2023 RANK,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE,Institution Name - WRONG,Wikidata
262,611-620,591-600,University of Minho,PT,Portugal,L,FC,VH,4.0,A,15.6,562,8.7,601+,32.8,483,18.7,573,19.4,596,18.0,575,52.7,297,10.2,701+,27.6,471=,-,University of Minho,"{""entities"": {""Q29673"": {""type"": ""item"", ""id"": ""Q29673"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Portugal""}}}}, ""success"": 1}"
263,621-630,651-700,University Ramon Llull,ES,Spain,L,CO,HI,3.0,B,10.4,601+,43.7,208,6.3,701+,8.5,701+,94.7,153,32.2,399,2.4,701+,15.6,535,1.4,701+,-,Universitat Ramon Llull,"{""entities"": {""Q24576"": {""type"": ""item"", ""id"": ""Q24576"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""private university in Barcelona, Catalonia, Spain""}}}}, ""success"": 1}"
264,621-630,601-650,University of Ljubljana,SI,Slovenia,XL,FC,VH,5.0,A,20.0,439,9.5,601+,35.6,446,6.3,701+,4.5,701+,10.7,701+,59.3,250,48.9,139,17.2,574=,-,University of Ljubljana,"{""entities"": {""Q1377"": {""type"": ""item"", ""id"": ""Q1377"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Slovene public university""}}}}, ""success"": 1}"
265,621-630,701-750,University of the Basque Country,ES,Spain,XL,CO,VH,3.0,A,19.4,457,6.4,601+,34.7,462,17.4,593,2.5,701+,3.8,701+,73.6,178,7.0,701+,21.2,533=,-,University of the Basque Country,"{""entities"": {""Q1232428"": {""type"": ""item"", ""id"": ""Q1232428"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in the Basque Autonomous Community of Spain""}}}}, ""success"": 1}"
266,631-640,651-700,Palacký University Olomouc,CZ,Czech Republic,L,FO,VH,5.0,A,15.0,583,17.9,492,29.6,524,8.6,701+,33.3,465,19.5,555,54.0,292,9.5,701+,23.7,506=,-,Palacký University Olomouc,"{""entities"": {""Q1637611"": {""type"": ""item"", ""id"": ""Q1637611"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Czech university""}}}}, ""success"": 1}"
267,631-640,751-800,University of Lille,FR,France,XL,FO,VH,1.0,A,25.3,346,4.2,601+,4.4,701+,14.6,643,16.8,637,17.6,580,86.3,106,7.0,701+,17.2,574=,-,Université de Lille,"{""entities"": {""Q3551621"": {""type"": ""item"", ""id"": ""Q3551621"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""French university located in Lille. Founded in 1559 in Douai; split between 1970 and 2017 into three independent universities (Lille-I, Lille-II and Lille-III).""}}}}, ""success"": 1}"
268,641-650,434=,Far Eastern Federal University,RU,Russia,L,CO,HI,5.0,A,10.6,601+,3.5,601+,94.9,62,1.8,701+,14.1,685,66.1,227,5.1,701+,8.2,701+,1.2,701+,-,Far Eastern Federal University,"{""entities"": {""Q702303"": {""type"": ""item"", ""id"": ""Q702303"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Russia""}}}}, ""success"": 1}"
269,641-650,701-750,Free University of Bozen-Bolzano,IT,Italy,S,FO,VH,3.0,A,5.0,601+,1.5,601+,11.0,701+,47.6,285,74.8,256,26.3,460,11.1,651,8.0,701+,1.9,701+,-,Free University of Bozen-Bolzano,"{""entities"": {""Q1231433"": {""type"": ""item"", ""id"": ""Q1231433"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university""}}}}, ""success"": 1}"
270,641-650,701-750,University of Bradford,UK,United Kingdom,M,CO,VH,4.0,A,8.7,601+,7.3,601+,8.2,701+,18.1,582,63.8,301,93.2,99,20.1,543,21.6,384,3.4,701+,-,University of Bradford,"{""entities"": {""Q954035"": {""type"": ""item"", ""id"": ""Q954035"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""University in Bradford, United Kingdom""}}}}, ""success"": 1}"
271,641-650,801-1000,University of Modena and Reggio Emilia,IT,Italy,L,FC,VH,5.0,A,8.7,601+,3.2,601+,2.3,701+,50.3,262,3.9,701+,3.8,701+,21.4,532,13.9,613,57.4,263=,-,University of Modena and Reggio Emilia,"{""entities"": {""Q1243705"": {""type"": ""item"", ""id"": ""Q1243705"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Italy""}}}}, ""success"": 1}"
272,651-660,701-750,Tallinn University of Technology,EE,Estonia,M,FO,VH,5.0,A,12.9,601+,11.4,601+,27.6,553,9.6,701+,49.5,360,25.0,475,48.5,323,32.0,239,3.5,701+,-,Tallinn University of Technology (TalTech),"{""entities"": {""Q604487"": {""type"": ""item"", ""id"": ""Q604487"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Tallinn, Estonia""}}}}, ""success"": 1}"
273,651-660,801-1000,University of Hohenheim,DE,Germany,M,SP,,5.0,A,9.8,601+,5.3,601+,10.0,701+,39.4,348,26.4,515,24.2,484,36.3,410,8.8,701+,15.0,612=,-,University of Hohenheim,"{""entities"": {""Q690912"": {""type"": ""item"", ""id"": ""Q690912"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""German university""}}}}, ""success"": 1}"
274,661-670,651-700,Aberystwyth University,UK,United Kingdom,M,CO,VH,5.0,A,9.5,601+,6.4,601+,19.5,680,23.5,507,46.1,374,49.5,300,27.1,482,10.5,701+,9.6,678=,-,Aberystwyth University,"{""entities"": {""Q319761"": {""type"": ""item"", ""id"": ""Q319761"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Wales""}}}}, ""success"": 1}"
275,661-670,801-1000,Ca' Foscari University of Venice,IT,Italy,L,FO,VH,5.0,A,18.8,474,14.8,554,4.9,701+,14.2,653,35.1,454,8.2,701+,15.5,590,10.8,701+,62.8,235=,-,Ca' Foscari University of Venice,"{""entities"": {""Q1546906"": {""type"": ""item"", ""id"": ""Q1546906"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Venice, Italy""}}}}, ""success"": 1}"
276,661-670,651-700,University of Graz,AT,Austria,L,CO,VH,5.0,A,21.3,407,9.5,601+,12.3,701+,10.9,701+,46.9,369,28.4,439,15.2,596,18.3,456,19.2,549=,-,Karl-Franzens-Universitaet Graz,"{""entities"": {""Q622683"": {""type"": ""item"", ""id"": ""Q622683"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Graz, Austria""}}}}, ""success"": 1}"
277,661-670,751-800,Middlesex University,UK,United Kingdom,L,CO,HI,4.0,A,5.6,601+,4.8,601+,8.3,701+,14.3,650,85.1,209,99.6,38,20.6,540,15.8,529,8.6,693,-,Middlesex University,"{""entities"": {""Q1760791"": {""type"": ""item"", ""id"": ""Q1760791"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in London, United Kingdom""}}}}, ""success"": 1}"
278,661-670,801-1000,University of Perugia,IT,Italy,L,FC,VH,5.0,A,9.3,601+,2.3,601+,3.6,701+,42.4,318,6.9,701+,5.9,701+,27.3,477,6.0,701+,66.0,222,-,Università degli Studi di Perugia,"{""entities"": {""Q748085"": {""type"": ""item"", ""id"": ""Q748085"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Italian public university""}}}}, ""success"": 1}"
279,661-670,751-800,University of Rovira i Virgili,ES,Spain,L,FC,HI,3.0,A,6.7,601+,2.0,601+,16.6,701+,37.4,375,7.6,701+,22.5,507,38.6,386,7.5,701+,47.2,323=,-,Universitat Rovira i Virgili,"{""entities"": {""Q3133193"": {""type"": ""item"", ""id"": ""Q3133193"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Catalonia, Spain""}}}}, ""success"": 1}"
280,671-680,651-700,University of Debrecen,HU,Hungary,L,FC,HI,5.0,A,17.3,515,10.3,601+,30.4,516,3.7,701+,10.6,701+,68.0,218,39.6,381,16.9,500,3.5,701+,-,University of Debrecen,"{""entities"": {""Q903092"": {""type"": ""item"", ""id"": ""Q903092"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Hungary""}}}}, ""success"": 1}"
281,671-680,801-1000,University of Greenwich,UK,United Kingdom,L,CO,HI,3.0,A,4.5,601+,4.2,601+,4.6,701+,10.6,701+,91.9,173,100.0,30,41.1,368,12.8,671,12.7,636=,-,University of Greenwich,"{""entities"": {""Q1896148"": {""type"": ""item"", ""id"": ""Q1896148"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Greenwich, UK""}}}}, ""success"": 1}"
282,681-690,751-800,University of Salzburg,AT,Austria,M,CO,VH,5.0,A,9.4,601+,2.3,601+,13.0,701+,8.0,701+,95.1,150,97.5,68,13.3,621,12.0,701+,6.3,701+,-,Paris Lodron University of Salzburg,"{""entities"": {""Q27265"": {""type"": ""item"", ""id"": ""Q27265"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Austria""}}}}, ""success"": 1}"
283,681-690,651-700,Taras Shevchenko National University of Kyiv,UA,Ukraine,L,CO,VH,5.0,A,19.2,467,38.6,252,33.4,477,2.3,701+,1.5,701+,5.1,701+,2.9,701+,28.0,288,1.9,701+,-,Taras Shevchenko National University of Kyiv,"{""entities"": {""Q84151"": {""type"": ""item"", ""id"": ""Q84151"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Kyiv, Ukraine""}}}}, ""success"": 1}"
284,681-690,467=,National University of Science and Technology MISiS,RU,Russia,M,SP,,2.0,A,6.5,601+,8.0,601+,75.5,163,14.7,642,7.9,701+,49.9,295,3.6,701+,9.8,701+,1.1,701+,-,The National University of Science and Technology MISIS,"{""entities"": {""Q4315005"": {""type"": ""item"", ""id"": ""Q4315005"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Moscow, Russia""}}}}, ""success"": 1}"
285,691-700,701-750,University of Mons,BE,Belgium,M,CO,VH,2.0,A,6.7,601+,13.0,601+,3.1,701+,40.3,343,35.9,448,43.6,331,5.2,701+,11.3,701+,1.8,701+,-,University of Mons,"{""entities"": {""Q1742161"": {""type"": ""item"", ""id"": ""Q1742161"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Mons, Belgium""}}}}, ""success"": 1}"
286,691-700,701-750,University of Trieste,IT,Italy,L,FC,HI,4.0,A,11.9,601+,3.6,601+,4.0,701+,45.5,297,6.4,701+,7.6,701+,37.6,397,12.9,666,4.0,701+,-,University of Trieste,"{""entities"": {""Q1751060"": {""type"": ""item"", ""id"": ""Q1751060"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Trieste, Italy""}}}}, ""success"": 1}"
287,691-700,541-550,National University of Kharkiv,UA,Ukraine,L,FC,HI,5.0,A,12.6,601+,17.9,491,66.0,204,1.4,701+,3.1,701+,58.8,257,1.6,701+,9.9,701+,1.1,701+,-,V. N. Karazin Kharkiv National University,"{""entities"": {""Q1458695"": {""type"": ""item"", ""id"": ""Q1458695"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Ukraine""}}}}, ""success"": 1}"
288,701-710,521-530,Altai State University,RU,Russia,M,FO,VH,4.0,A,10.0,601+,3.7,601+,84.4,110,1.4,701+,6.7,701+,69.9,212,1.0,701+,7.6,701+,6.1,701+,-,Altai State University,"{""entities"": {""Q4062936"": {""type"": ""item"", ""id"": ""Q4062936"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Barnaul, Russia""}}}}, ""success"": 1}"
289,701-710,801-1000,Czech University of Life Sciences Prague,CZ,Czech Republic,L,FO,VH,5.0,A,11.0,601+,8.8,601+,9.2,701+,9.5,701+,26.6,514,64.5,233,54.7,288,9.4,701+,35.8,393=,-,Czech University of Life Sciences in Prague,"{""entities"": {""Q1460141"": {""type"": ""item"", ""id"": ""Q1460141"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Czech university""}}}}, ""success"": 1}"
290,701-710,701-750,Eötvös Loránd University,HU,Hungary,L,CO,VH,5.0,A,23.9,359,16.8,515,13.2,701+,7.8,701+,5.0,701+,11.3,685,31.1,452,30.8,248,10.2,667=,-,Eötvös Loránd University,"{""entities"": {""Q390287"": {""type"": ""item"", ""id"": ""Q390287"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university in Budapest, Hungary""}}}}, ""success"": 1}"
291,701-710,751-800,University of Santiago de Compostela,ES,Spain,L,CO,VH,5.0,A,23.5,368,10.3,601+,13.0,701+,16.1,618,2.8,701+,6.0,701+,38.0,394,8.1,701+,23.2,511=,-,Universidade de Santiago de Compostela,"{""entities"": {""Q1473677"": {""type"": ""item"", ""id"": ""Q1473677"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Spain""}}}}, ""success"": 1}"
292,711-720,801-1000,Istanbul University,TR,Turkey,XL,FC,HI,5.0,A,26.4,333,19.1,469,3.0,701+,4.2,701+,6.4,701+,15.7,606,36.1,411,34.7,220,3.4,701+,-,Istanbul University,"{""entities"": {""Q192964"": {""type"": ""item"", ""id"": ""Q192964"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Istanbul, Turkey""}}}}, ""success"": 1}"
293,711-720,801-1000,University of Rennes 1,FR,France,L,FO,VH,5.0,A,15.8,550,4.0,601+,12.2,701+,25.0,487,12.6,701+,12.1,677,57.3,265,7.4,701+,13.4,631=,-,Université de Rennes 1 (University of Rennes),"{""entities"": {""Q726595"": {""type"": ""item"", ""id"": ""Q726595"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""former French university from 1970 to 2023""}}}}, ""success"": 1}"
294,711-720,701-750,University of Westminster,UK,United Kingdom,L,CO,HI,3.0,A,12.9,601+,6.7,601+,5.9,701+,6.0,701+,78.4,235,100.0,28,1.9,701+,16.3,515,1.9,701+,-,University of Westminster,"{""entities"": {""Q1247544"": {""type"": ""item"", ""id"": ""Q1247544"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Westminster, UK""}}}}, ""success"": 1}"
295,721-730,801-1000,Marche Polytechnic University,IT,Italy,M,FO,VH,4.0,A,6.0,601+,2.8,601+,11.0,701+,49.1,273,3.9,701+,4.8,701+,40.9,369,6.9,701+,6.5,701+,-,Universita' Politecnica delle Marche,"{""entities"": {""Q1084409"": {""type"": ""item"", ""id"": ""Q1084409"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Italian university""}}}}, ""success"": 1}"
296,721-730,751-800,Côte d'Azur University,FR,France,XL,FC,VH,1.0,A,15.8,551,3.0,601+,5.2,701+,21.8,530,32.8,467,39.7,345,42.6,356,7.8,701+,5.6,701+,-,Université Côte d\'Azur,"{""entities"": {""Q19370961"": {""type"": ""item"", ""id"": ""Q19370961"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""French university created in 2015, which succeeds the University of Nice founded in 1965""}}}}, ""success"": 1}"
297,721-730,801-1000,University of Lorraine,FR,France,XL,FO,VH,5.0,A,13.7,601+,3.6,601+,6.4,701+,11.4,701+,28.9,496,28.4,438,93.1,63,10.2,701+,17.2,574=,-,Université de Lorraine,"{""entities"": {""Q4173330"": {""type"": ""item"", ""id"": ""Q4173330"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""French public university, located in Lorraine""}}}}, ""success"": 1}"
298,721-730,1001-1200,University of Belgrade,RS,Serbia,XL,FC,VH,5.0,A,17.8,501,5.2,601+,4.3,701+,5.3,701+,2.9,701+,4.3,701+,95.4,50,56.7,110,16.1,592=,-,University of Belgrade,"{""entities"": {""Q240631"": {""type"": ""item"", ""id"": ""Q240631"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Belgrade, Serbia""}}}}, ""success"": 1}"
299,731-740,801-1000,Adam Mickiewicz University in Poznań,PL,Poland,L,CO,VH,5.0,A,15.8,554,8.7,601+,29.7,523,5.0,701+,7.0,701+,7.0,701+,59.5,247,12.6,689,38.4,373=,-,"Adam Mickiewicz University, Poznań","{""entities"": {""Q348402"": {""type"": ""item"", ""id"": ""Q348402"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Poland""}}}}, ""success"": 1}"
300,731-740,801-1000,Bournemouth University,UK,United Kingdom,L,CO,HI,3.0,A,5.7,601+,8.3,601+,6.1,701+,17.4,594,81.2,224,50.1,293,23.3,515,10.0,701+,18.4,560=,-,Bournemouth University,"{""entities"": {""Q3182943"": {""type"": ""item"", ""id"": ""Q3182943"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Bournemouth, Christchurch and Poole, UK""}}}}, ""success"": 1}"
301,731-740,701-750,Igor Sikorsky Kyiv Polytechnic Institute,UA,Ukraine,L,FO,VH,5.0,A,16.1,544,33.7,292,47.0,333,1.5,701+,1.1,701+,2.5,701+,1.4,701+,18.9,441,1.4,701+,-,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""","{""entities"": {""Q85449"": {""type"": ""item"", ""id"": ""Q85449"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Ukraine""}}}}, ""success"": 1}"
302,731-740,751-800,University of Siena,IT,Italy,L,FC,HI,5.0,A,12.5,601+,2.6,601+,8.6,701+,33.2,411,2.1,701+,15.1,617,16.0,585,8.3,701+,49.4,312=,-,University of Siena,"{""entities"": {""Q1245999"": {""type"": ""item"", ""id"": ""Q1245999"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Italian university""}}}}, ""success"": 1}"
303,741-750,801-1000,Budapest University of Technology and Economics,HU,Hungary,L,FO,VH,5.0,A,14.3,601+,19.4,464,15.2,701+,8.9,701+,2.5,701+,18.8,562,25.4,493,25.0,329,40.8,360=,-,Budapest University of Technology and Economics,"{""entities"": {""Q1186843"": {""type"": ""item"", ""id"": ""Q1186843"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Hungary""}}}}, ""success"": 1}"
304,741-750,561-570,Sofia University,BG,Bulgaria,L,CO,HI,5.0,A,14.4,598,16.3,523,54.1,284,2.1,701+,3.1,701+,8.4,701+,12.9,627,27.3,298,16.7,584=,-,"Sofia University ""St. Kliment Ohridski""","{""entities"": {""Q841581"": {""type"": ""item"", ""id"": ""Q841581"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Sofia, Bulgaria""}}}}, ""success"": 1}"
305,741-750,581-590,University of Regensburg,DE,Germany,L,FO,VH,4.0,A,11.2,601+,6.7,601+,75.9,159,7.2,701+,,,9.5,701+,27.1,480,14.1,606,1.9,701+,-,Universität Regensburg,"{""entities"": {""Q574571"": {""type"": ""item"", ""id"": ""Q574571"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Bavaria, Germany""}}}}, ""success"": 1}"
306,741-750,801-1000,University of Bari,IT,Italy,XL,FC,HI,4.0,A,12.8,601+,2.9,601+,4.2,701+,27.8,452,5.0,701+,2.2,701+,64.5,219,6.8,701+,37.5,382=,-,University of Bari,"{""entities"": {""Q1236136"": {""type"": ""item"", ""id"": ""Q1236136"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Italian university""}}}}, ""success"": 1}"
307,741-750,801-1000,University of the West of England,UK,United Kingdom,XL,CO,HI,3.0,A,9.2,601+,9.4,601+,8.4,701+,10.8,701+,48.4,363,75.8,183,24.8,499,8.9,701+,21.6,528=,-,University of the West of England,"{""entities"": {""Q2002520"": {""type"": ""item"", ""id"": ""Q2002520"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in South Gloucestershire, UK""}}}}, ""success"": 1}"
308,751-760,,ISCTE – University Institute of Lisbon,PT,Portugal,L,FO,VH,,A,7.0,601+,6.2,601+,1.4,701+,59.2,211,,,,,8.1,701+,10.0,701+,,,-,ISCTE - Instituto Universitario de Lisboa,"{""entities"": {""Q2886844"": {""type"": ""item"", ""id"": ""Q2886844"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Portuguese public tertiary education institution""}}}}, ""success"": 1}"
309,751-760,801-1000,Liverpool John Moores University,UK,United Kingdom,L,CO,VH,3.0,A,9.9,601+,6.8,601+,8.4,701+,14.5,645,48.1,365,24.4,480,56.2,278,10.4,701+,24.4,497=,-,Liverpool John Moores University,"{""entities"": {""Q1627967"": {""type"": ""item"", ""id"": ""Q1627967"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Liverpool, England""}}}}, ""success"": 1}"
310,751-760,751-800,Riga Technical University,LV,Latvia,M,CO,VH,5.0,A,11.4,601+,28.2,343,19.7,673,2.9,701+,16.4,644,59.9,248,1.4,701+,18.5,452,15.2,608=,-,Riga Technical University,"{""entities"": {""Q411895"": {""type"": ""item"", ""id"": ""Q411895"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""technical university in Latvia""}}}}, ""success"": 1}"
311,751-760,601-650,Technical University of Braunschweig,DE,Germany,L,CO,VH,5.0,A,11.0,601+,14.5,561,58.8,244,6.3,701+,,,26.8,448,20.2,542,12.0,701+,4.8,701+,-,Technische Universität Braunschweig,"{""entities"": {""Q734324"": {""type"": ""item"", ""id"": ""Q734324"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university""}}}}, ""success"": 1}"
312,751-760,801-1000,University of Zagreb,HR,Croatia,XL,FC,VH,5.0,A,16.2,539,4.7,601+,23.8,597,4.2,701+,1.5,701+,2.7,701+,74.2,176,44.8,158,19.2,549=,-,University of Zagreb,"{""entities"": {""Q675848"": {""type"": ""item"", ""id"": ""Q675848"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Croatian university""}}}}, ""success"": 1}"
313,761-770,801-1000,Hacettepe University,TR,Turkey,L,FC,VH,4.0,A,20.4,427,22.7,419,10.1,701+,6.0,701+,3.2,701+,3.4,701+,27.0,483,13.8,619,31.6,425=,-,Hacettepe University,"{""entities"": {""Q1567050"": {""type"": ""item"", ""id"": ""Q1567050"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Turkish public university located in Ankara""}}}}, ""success"": 1}"
314,761-770,751-800,University of Marburg,DE,Germany,L,FC,HI,5.0,A,14.0,601+,7.5,601+,5.5,701+,31.1,428,16.8,638,22.6,504,16.2,583,9.1,701+,6.1,701+,-,Philipps-Universität Marburg,"{""entities"": {""Q155354"": {""type"": ""item"", ""id"": ""Q155354"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""German university""}}}}, ""success"": 1}"
315,761-770,601-650,University of Rostock,DE,Germany,L,FC,HI,5.0,A,7.7,601+,3.2,601+,79.4,140,5.8,701+,,,14.7,626,47.6,329,9.2,701+,2.8,701+,-,Universität Rostock,"{""entities"": {""Q159895"": {""type"": ""item"", ""id"": ""Q159895"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Germany""}}}}, ""success"": 1}"
316,771-780,651-700,Comenius University,SK,Slovakia,L,FC,HI,5.0,A,14.1,601+,5.2,601+,55.8,268,3.4,701+,4.1,701+,30.5,419,13.0,625,32.8,233,4.1,701+,-,Comenius University Bratislava,"{""entities"": {""Q31392"": {""type"": ""item"", ""id"": ""Q31392"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Bratislava, Slovakia""}}}}, ""success"": 1}"
317,771-780,651-700,First Moscow State Medical University,RU,Russia,L,SP,,4.0,A,5.8,601+,4.4,601+,59.7,239,3.4,701+,9.6,701+,66.0,228,46.5,334,4.7,701+,1.1,701+,-,Sechenov University,"{""entities"": {""Q1962613"": {""type"": ""item"", ""id"": ""Q1962613"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Russia""}}}}, ""success"": 1}"
318,771-780,801-1000,University of Duisburg-Essen,DE,Germany,XL,FC,VH,4.0,A,11.5,601+,5.2,601+,11.4,701+,11.8,701+,36.4,443,42.2,334,54.9,286,11.5,701+,9.2,685=,-,Universität Duisburg-Essen,"{""entities"": {""Q696757"": {""type"": ""item"", ""id"": ""Q696757"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Germany""}}}}, ""success"": 1}"
319,771-780,801-1000,University of Nantes,FR,France,XL,CO,VH,5.0,A,10.3,601+,2.7,601+,7.1,701+,23.6,505,17.1,625,13.9,642,77.3,161,6.7,701+,15.6,601=,-,Université de Nantes,"{""entities"": {""Q259388"": {""type"": ""item"", ""id"": ""Q259388"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""French university based in Nantes, founded in 1460.""}}}}, ""success"": 1}"
320,771-780,801-1000,University of Brighton,UK,United Kingdom,L,CO,VH,3.0,A,8.4,601+,7.0,601+,8.9,701+,15.8,622,56.2,330,54.2,270,27.6,473,11.2,701+,9.1,687,-,University of Brighton,"{""entities"": {""Q3056813"": {""type"": ""item"", ""id"": ""Q3056813"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in England, United Kingdom""}}}}, ""success"": 1}"
321,781-790,751-800,Keele University,UK,United Kingdom,M,FC,VH,4.0,A,6.7,601+,4.3,601+,15.2,701+,27.1,462,53.1,344,33.2,391,11.6,642,10.5,701+,3.1,701+,-,Keele University,"{""entities"": {""Q1737734"": {""type"": ""item"", ""id"": ""Q1737734"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Keele, United Kingdom""}}}}, ""success"": 1}"
322,791-800,651-700,Plekhanov Russian University of Economics,RU,Russia,L,SP,,5.0,A,12.6,601+,14.3,574,49.6,312,2.8,701+,6.0,701+,21.2,530,5.8,701+,30.1,258,7.5,701+,-,Plekhanov Russian University of Economics,"{""entities"": {""Q2004114"": {""type"": ""item"", ""id"": ""Q2004114"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Russia""}}}}, ""success"": 1}"
323,791-800,801-1000,University of Brescia,IT,Italy,M,FO,VH,3.0,A,3.9,601+,2.1,601+,6.8,701+,50.4,261,2.6,701+,6.9,701+,9.0,698,8.8,701+,24.8,490=,-,University of Brescia,"{""entities"": {""Q1781263"": {""type"": ""item"", ""id"": ""Q1781263"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Italy""}}}}, ""success"": 1}"
324,791-800,801-1000,University of Patras,GR,Greece,L,FC,HI,4.0,A,12.1,601+,17.7,496,2.7,701+,24.0,501,1.5,701+,5.1,701+,12.4,631,8.4,701+,41.1,358=,-,University of Patras,"{""entities"": {""Q1462246"": {""type"": ""item"", ""id"": ""Q1462246"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Greek university""}}}}, ""success"": 1}"
325,801-850,1001-1200,Babeș-Bolyai University,RO,Romania,XL,CO,VH,5.0,A,16.4,533,13.7,591,4.7,701+,4.2,701+,7.7,701+,4.0,701+,42.6,358,23.1,362,48.4,316=,-,Babes-Bolyai University,"{""entities"": {""Q538452"": {""type"": ""item"", ""id"": ""Q538452"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Romania""}}}}, ""success"": 1}"
326,801-850,751-800,Belarusian National Technical University,BY,Belarus,L,SP,,5.0,A,13.1,601+,29.8,327,45.6,345,1.0,701+,2.2,701+,12.6,670,1.0,701+,7.1,701+,,,-,Belarusian National Technical University (BNTU),"{""entities"": {""Q815268"": {""type"": ""item"", ""id"": ""Q815268"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university""}}}}, ""success"": 1}"
